iteration,time,error
992,0.320966,0.000119544
993,0.321183,0.000127485
994,0.321372,0.000139853
995,0.321596,0.000147142
996,0.321832,0.00011797
997,0.322053,0.000159066
998,0.322384,0.000114926
999,0.322667,0.000144567
1000,0.322963,0.00013088
1001,0.323219,0.00010499
1002,0.323459,0.000218381
1003,0.323697,0.000105588
1004,0.323954,0.000130263
1005,0.324198,0.000128055
1006,0.324539,0.000117258
1007,0.324831,0.00011991
1008,0.325079,0.000134399
1009,0.325318,0.000121004
1010,0.32556,0.000142078
1011,0.32575,0.000120106
1012,0.325945,0.00011843
1013,0.326129,0.000129345
1014,0.326304,0.000122709
1015,0.326504,0.000124348
1016,0.32673,0.000128933
1017,0.326976,0.000124214
1018,0.327202,0.000128745
1019,0.327419,0.000114362
1020,0.327631,0.000160165
1021,0.32787,0.000110166
1022,0.328043,0.000125509
1023,0.328226,0.000114013
1024,0.328407,0.000126418
1025,0.328632,0.000122899
1026,0.328865,0.00012666
1027,0.329055,0.00011885
1028,0.329229,0.000158388
1029,0.329404,0.000124134
1030,0.329563,0.000129418
1031,0.329782,0.000126022
1032,0.329971,0.000112608
1033,0.330157,0.000124161
1034,0.330331,0.000112658
1035,0.330513,0.000121733
1036,0.330748,0.000131914
1037,0.330964,0.000124106
1038,0.331243,0.000126073
1039,0.331469,0.000116226
1040,0.331696,0.000117465
1041,0.331949,0.000130594
1042,0.332198,0.000132226
1043,0.332433,0.000131651
1044,0.332648,0.000117629
1045,0.332872,0.000176094
1046,0.333064,0.000107609
1047,0.333296,0.000144185
1048,0.333572,0.000101915
1049,0.334049,0.000144115
1050,0.334993,9.18857e-05
